student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,sex,ageguess,year,lovetrueage,lovetrueht
201533,NA,y,3,NA,1,0,17,1,5,14,4,3,69,21.5,green,8,60,m,53,2015,48.5,NA
201534,NA,y,3,NA,1,0,10,1,5,60,3,2,66,18,blue,6,66,f,51,2015,48.5,NA
201535,NA,y,4,NA,1,0,20,1,5,0,4,5,66,23.5,blue,5,72,m,55,2015,48.5,NA
201536,NA,y,6,NA,1,1,9,0.8,7,50,3,2,68,20,pink,7,80,f,53,2015,48.5,NA
201537,NA,y,4,NA,1,3,12,0.6,7,18,2,2,67,21.5,orange,8,74,m,47,2015,48.5,NA
201538,NA,y,4,NA,1,1,10,0.82,6,15,3,2,69,19.5,blue,9,70,m,49,2015,48.5,NA
201539,NA,y,3,NA,1,5,15,0.5,6,55,3,2,62,18,blue,6,90,f,42,2015,48.5,NA
201540,NA,y,3,NA,2,16,7,-0.39,6,32,3,2,70,21.5,red,6,80,m,45,2015,48.5,NA
201541,NA,y,2,NA,1,0,20,1,7,0,3,4,63,21,yellow,6.5,70,f,47,2015,48.5,NA
201542,NA,y,6,NA,1,0,20,1,7,30,4,4,64,20,purple,7,66,f,37,2015,48.5,NA
201543,NA,n,6,NA,1,0,19,1,6,0,4,3,65,19.5,blue,8,60,f,49,2015,48.5,NA
201544,NA,n,6,NA,1,0,19,1,6,0,2,2,66,22.5,yellow,8,62,f,53,2015,48.5,NA
201545,NA,y,4,NA,1,6,14,0.4,6,6,1,2,63.5,18,pink,8,54,f,48,2015,48.5,NA
201546,NA,y,5,NA,1,5,15,0.5,7,0,2,3,70,21,blue,7,88,m,53,2015,48.5,NA
201547,NA,y,5,NA,1,2,9,0.64,7,20,3,3,66,21.7,blue,8,68,m,48,2015,48.5,NA
201548,NA,y,7,NA,1,1,10,0.82,7,55,4,2,68,22,brown,5,64,m,57,2015,48.5,NA
201549,NA,y,5,NA,2,1,9,0.8,7,48,1,4,71,22.6,blue,7,86,m,44,2015,48.5,NA
201401,NA,y,5,NA,1,1,14,0.87,7,35,4,5,68,19,green,6,86,f,42,2014,47.5,NA
201402,NA,y,5,NA,1,2,12,0.71,6,35,3,2,64,18,green,7,80,f,40,2014,47.5,NA
201403,NA,y,5,NA,1,0,10,1,7,15,5,1,72,16,orange,6,30,m,38,2014,47.5,NA
201404,NA,y,5,NA,1,0,10,1,6,12,4,2,66,19,green,6,64,f,46,2014,47.5,NA
201405,NA,y,5,NA,1,0,17,1,7,10,2,3,68,20.5,green,6,56,m,45,2014,47.5,NA
201406,NA,y,6,NA,2,15,10,-0.2,7,28,5,5,66,21.5,blue,8,82,m,44,2014,47.5,NA
201407,NA,n,1,NA,1,7,2,-0.56,5,50,1,1,64,22.8,red,7,72,f,52,2014,47.5,NA
201408,NA,y,5,NA,1,10,10,0,7,70,3,4,67,20.5,blue,6.5,68,m,55,2014,47.5,NA
201409,NA,NA,5,NA,1,4,12,0.5,5,32,2,3,63,8,red,7,52,f,40,2014,47.5,NA
201410,NA,n,5,NA,1,5,15,0.5,6,18,3,3,65,18,purple,4,84,f,46,2014,47.5,NA
201411,NA,y,5,NA,1,3,16,0.68,6,30,4,3,65,16,green,6,62,f,54,2014,47.5,NA
201412,NA,n,5,NA,2,2,14,0.75,7,0,2,3,70,20,gray,7,68,m,53,2014,47.5,NA
201413,NA,y,6,NA,1,1,16,0.88,5,55,1,2,64,20,blue,7,62,f,45,2014,47.5,NA
201414,NA,y,5,NA,1,2,10,0.67,7,0,3,2,70,22,blue,6,66,m,52,2014,47.5,NA
201415,NA,y,4,NA,1,5,14,0.47,5,20,2,2,60,18,silver,6,78,f,45,2014,47.5,NA
201416,NA,y,4,NA,1,4,16,0.6,6,60,3,3,72,22.5,green,8,66,m,52,2014,47.5,NA
201417,NA,n,3,NA,1,2,16,0.78,5,25,4,4,71,22,blue,6,70,m,58,2014,47.5,NA
201418,NA,y,5,NA,1,1,15,0.88,5,15,4,4,67,21,red,7,68,m,40,2014,47.5,NA
201419,NA,y,5,NA,1,3,15,0.67,6,25,3,4,65,21.5,green,6,86,f,45,2014,47.5,NA
201420,NA,n,6,NA,1,0,13,1,7,15,2,3,71,21.4,brown,6,88,m,48,2014,47.5,NA
201421,NA,y,5,NA,1,0,16,1,7,28,2,4,63,20.2,dark blue,7,78,f,45,2014,47.5,NA
201422,NA,y,7,NA,1,3,8,0.45,7,9,4,3,72,11,blue,8,80,m,40,2014,47.5,NA
201423,NA,n,7,NA,1,0,10,1,7,5,4,2,71,10,blue,9,75,m,40,2014,47.5,NA
201424,NA,y,5,NA,1,0,17,1,7,0,2,2,64,19,green,7,92,f,55,2014,47.5,NA
201425,NA,n,5,NA,1,3,17,0.7,7,100,3,1,63,16,blue,9,80,f,49,2014,47.5,NA
201426,NA,n,6,NA,1,3,13,0.63,6,25,2,3,72,20.5,NA,6,72,m,45,2014,47.5,NA
201427,NA,y,6,NA,1,12,3,-0.6,7,15,1,2,70,21.5,depends,7,62,m,46,2014,47.5,NA
201428,NA,y,7,NA,1,2,18,0.8,7,25,3,2,70,23.5,blue,6,66,m,50,2014,47.5,NA
201429,NA,y,1,NA,1,6,14,0.4,6,30,2,3,64,18.5,blue,7.5,68,f,56,2014,47.5,NA
201430,NA,y,4,NA,1,1,19,0.9,6,20,3,3,NA,22,blue,8.5,74,m,55,2014,47.5,NA
201431,NA,y,6,NA,1,2,18,0.8,6,0,3,2,68.5,20.5,green,8,66,m,50,2014,47.5,NA
201432,NA,y,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,NA,2014,47.5,NA
201433,NA,y,2,NA,1,4,16,0.6,5,14,3,1,72,21,aquamarine,7,80,m,47,2014,47.5,NA
201434,NA,y,7,NA,1,0,10,1,7,7,4,2,73,24,blue,7,70,m,45,2014,47.5,NA
201435,NA,y,2,NA,1,3,17,0.7,4,14,2,1,71,22,green,8.5,70,m,45,2014,47.5,NA
201436,NA,y,6,NA,1,0,14,1,6,15,3,3,70,25,blue,8,70,m,47,2014,47.5,NA
201437,NA,y,4,NA,1,8,12,0.2,7,20,3,3,73,20,blue,6,58,m,42,2014,47.5,NA
201438,NA,y,7,NA,1,6,14,0.4,6,25,1,1,71,24,blue,8,59,m,53,2014,47.5,NA
201439,NA,n,7,NA,1,0,20,1,7,12,5,3,67,21,white,6,80,m,50,2014,47.5,NA
201440,NA,y,5,NA,1,3,9,0.5,5,18,2,2,67,21,white,9,70,m,47,2014,47.5,NA
201441,NA,n,5,NA,1,5,12,0.41,6,15,2,2,68,23,pink,8,72,m,52,2014,47.5,NA
201442,NA,y,5,NA,1,0,20,1,6,25,5,1,64,17,green,4,77,f,42,2014,47.5,NA
